"SYMBOL"	"LocusTag"	"description"	"LENGTH_AA"	"PROTEIN_REFSEQ"	"UNIPROT"	"PI"	"link_UNIPROT"	"link_NCBI"	"MW"	"new_Gene"	"SVM_prediction"	"Shift"	"High_significant_fractions"	"Low_significant_fractions"	"Cluster"	"Cluster_confidence"
"all1723"	"PCC7120DELTA_RS10420"	"Class II aldolase/adducin family protein"	253	"WP_010995892.1"	"Q8YW92"	"5.88"	"https://www.uniprot.org/uniprotkb/Q8YW92/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010995892.1/"	"28.17"	"all1723"	"TRUE"	"FALSE"	"NA"	"NA"	13	"95.78"
"all1724"	"PCC7120DELTA_RS10425"	"Hypothetical protein"	467	"WP_010995893.1"	"Q8YW91"	"9.34"	"https://www.uniprot.org/uniprotkb/Q8YW91/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010995893.1/"	52	"all1724"	"FALSE"	"FALSE"	"NA"	"NA"	"NA"	"NA"
"all1730"	"PCC7120DELTA_RS10455"	"CHAT domain-containing protein"	525	"WP_010995898.1"	"Q8YW86"	"5.93"	"https://www.uniprot.org/uniprotkb/Q8YW86/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010995898.1/"	"58.4"	"all1730"	"FALSE"	"FALSE"	"NA"	"NA"	"NA"	"NA"
"all1736"	"PCC7120DELTA_RS10480"	"Response regulator transcription factor"	231	"WP_010995904.1"	"Q8YW80"	"5.14"	"https://www.uniprot.org/uniprotkb/Q8YW80/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010995904.1/"	"25.89"	"all1736"	"FALSE"	"FALSE"	"NA"	"NA"	2	100
"all1737"	"PCC7120DELTA_RS10485"	"Glycosyltransferase"	322	"WP_010995905.1"	"Q8YW79"	"9.14"	"https://www.uniprot.org/uniprotkb/Q8YW79/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010995905.1/"	"36.07"	"all1737"	"FALSE"	"FALSE"	"NA"	"NA"	11	100
"all1738"	"PCC7120DELTA_RS10490"	"S41 family peptidase"	445	"WP_010995906.1"	"Q8YW78"	"9.36"	"https://www.uniprot.org/uniprotkb/Q8YW78/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010995906.1/"	"48.62"	"all1738"	"FALSE"	"FALSE"	"NA"	"NA"	6	"98.36"
"all1745"	"PCC7120DELTA_RS10520"	"Glutathione S-transferase family protein"	218	"WP_044521052.1"	"Q8YW71"	"4.67"	"https://www.uniprot.org/uniprotkb/Q8YW71/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_044521052.1/"	"24.73"	"all1745"	"FALSE"	"FALSE"	"NA"	"NA"	5	100
"all1748"	"PCC7120DELTA_RS10535"	"Metal ABC transporter substrate-binding protein"	326	"WP_010995916.1"	"Q8YW68"	"9.11"	"https://www.uniprot.org/uniprotkb/Q8YW68/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010995916.1/"	"36.47"	"all1748"	"FALSE"	"FALSE"	"NA"	"NA"	8	100
"all1750"	"PCC7120DELTA_RS10545"	"WD40 repeat domain-containing protein"	353	"WP_010995918.1"	"Q8YW66"	"4.93"	"https://www.uniprot.org/uniprotkb/Q8YW66/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010995918.1/"	"38.43"	"all1750"	"FALSE"	"TRUE"	"8 9 10 13"	"NA"	4	100
"all1751"	"PCC7120DELTA_RS10550"	"GTP-binding protein"	323	"WP_010995919.1"	"Q8YW65"	"4.61"	"https://www.uniprot.org/uniprotkb/Q8YW65/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010995919.1/"	"36.43"	"all1751"	"FALSE"	"FALSE"	"NA"	"NA"	9	"99.95"
"all1755"	"PCC7120DELTA_RS10570"	"Hypothetical protein"	132	"WP_010995923.1"	"Q8YW61"	"9.43"	"https://www.uniprot.org/uniprotkb/Q8YW61/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010995923.1/"	"14.39"	"all1755"	"FALSE"	"FALSE"	"NA"	"NA"	1	100
"all1756"	"PCC7120DELTA_RS10575"	"DUF3598 family protein"	273	"WP_010995924.1"	"Q8YW60"	"5.52"	"https://www.uniprot.org/uniprotkb/Q8YW60/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010995924.1/"	"30.79"	"all1756"	"FALSE"	"FALSE"	"NA"	"NA"	2	100
"all1761"	"PCC7120DELTA_RS10600"	"DUF502 domain-containing protein"	250	"WP_010995929.1"	"Q8YW55"	"6.75"	"https://www.uniprot.org/uniprotkb/Q8YW55/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010995929.1/"	"27.73"	"all1761"	"FALSE"	"FALSE"	"NA"	"NA"	14	100
"all1762"	"PCC7120DELTA_RS10605"	"Glycosyltransferase family 2 protein"	298	"WP_010995930.1"	"Q8YW54"	"5.71"	"https://www.uniprot.org/uniprotkb/Q8YW54/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010995930.1/"	"35.09"	"all1762"	"FALSE"	"TRUE"	11	"NA"	10	100
"all1763"	"PCC7120DELTA_RS10610"	"HpsJ family protein"	280	"WP_010995931.1"	"Q8YW53"	"9.89"	"https://www.uniprot.org/uniprotkb/Q8YW53/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010995931.1/"	"31.06"	"all1763"	"FALSE"	"FALSE"	"NA"	"NA"	13	100
"all1764"	"PCC7120DELTA_RS10615"	"TIGR04282 family arsenosugar biosynthesis glycosyltransferase"	216	"WP_010995932.1"	"Q8YW52"	"5.65"	"https://www.uniprot.org/uniprotkb/Q8YW52/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010995932.1/"	"24.42"	"all1764"	"FALSE"	"FALSE"	"NA"	"NA"	"NA"	"NA"
"all1776"	"PCC7120DELTA_RS10675"	"Family 10 glycosylhydrolase"	669	"WP_010995944.1"	"Q8YW40"	"9.32"	"https://www.uniprot.org/uniprotkb/Q8YW40/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010995944.1/"	"75.02"	"all1776"	"FALSE"	"FALSE"	"NA"	"NA"	8	"99.35"
"all1782"	"PCC7120DELTA_RS10700"	"VWA domain-containing protein"	615	"WP_010995950.1"	"Q8YW34"	"5.35"	"https://www.uniprot.org/uniprotkb/Q8YW34/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010995950.1/"	"66.97"	"all1782"	"FALSE"	"FALSE"	"NA"	"NA"	9	100
"all1783"	"PCC7120DELTA_RS10705"	"DUF4360 domain-containing protein"	201	"WP_010995951.1"	"Q8YW33"	"9.12"	"https://www.uniprot.org/uniprotkb/Q8YW33/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010995951.1/"	"21.89"	"all1783"	"FALSE"	"FALSE"	"NA"	"NA"	"NA"	"NA"
"all1787"	"PCC7120DELTA_RS10725"	"Exopolysaccharide biosynthesis protein"	207	"WP_010995955.1"	"Q8YW29"	"9.06"	"https://www.uniprot.org/uniprotkb/Q8YW29/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010995955.1/"	"22.38"	"all1787"	"FALSE"	"FALSE"	"NA"	"NA"	5	"96.27"
"all1800"	"PCC7120DELTA_RS10785"	"TrkA family potassium uptake protein"	231	"WP_011321462.1"	"Q8YW16"	"5.13"	"https://www.uniprot.org/uniprotkb/Q8YW16/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_011321462.1/"	"20.81"	"all1800"	"FALSE"	"FALSE"	"NA"	"NA"	6	"99.49"
"all1802"	"PCC7120DELTA_RS10790"	"TrkH family potassium uptake protein"	444	"WP_010995970.1"	"Q8YW14"	"9.23"	"https://www.uniprot.org/uniprotkb/Q8YW14/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010995970.1/"	"48.15"	"all1802"	"FALSE"	"FALSE"	"NA"	"NA"	"NA"	"NA"
"all1804"	"PCC7120DELTA_RS10800"	"ATP-binding protein"	1287	"WP_010995972.1"	"Q8YW12"	"5.42"	"https://www.uniprot.org/uniprotkb/Q8YW12/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010995972.1/"	"143.2"	"all1804"	"FALSE"	"FALSE"	"NA"	"NA"	17	"99.96"
"all1806"	"PCC7120DELTA_RS10810"	"RDD family protein"	261	"WP_010995974.1"	"Q8YW10"	"6.32"	"https://www.uniprot.org/uniprotkb/Q8YW10/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010995974.1/"	"29.3"	"all1806"	"FALSE"	"TRUE"	3	4	"NA"	"NA"
"all1807"	"PCC7120DELTA_RS10815"	"Glycerophosphoryl diester phosphodiesterase membrane domain-containing protein"	284	"WP_010995975.1"	"Q8YW09"	"9.22"	"https://www.uniprot.org/uniprotkb/Q8YW09/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010995975.1/"	"31.04"	"all1807"	"FALSE"	"FALSE"	"NA"	"NA"	10	"96.25"
"all1812"	"PCC7120DELTA_RS10840"	"Pentapeptide repeat-containing protein"	122	"WP_044521078.1"	"Q8YW04"	"9.88"	"https://www.uniprot.org/uniprotkb/Q8YW04/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_044521078.1/"	"13.73"	"all1812"	"FALSE"	"FALSE"	"NA"	"NA"	3	"99.84"
"all1814"	"PCC7120DELTA_RS10850"	"Hypothetical protein"	189	"WP_010995982.1"	"Q8YW02"	"8.12"	"https://www.uniprot.org/uniprotkb/Q8YW02/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010995982.1/"	"20.9"	"all1814"	"FALSE"	"FALSE"	"NA"	"NA"	3	100
"all1816"	"PCC7120DELTA_RS10860"	"YdcF family protein"	201	"WP_044521083.1"	"Q8YW00"	"9.32"	"https://www.uniprot.org/uniprotkb/Q8YW00/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_044521083.1/"	"24.06"	"all1816"	"FALSE"	"FALSE"	"NA"	"NA"	8	"99.78"
"all1820"	"PCC7120DELTA_RS10875"	"Tetratricopeptide repeat protein"	1009	"WP_010995988.1"	"Q8YVZ6"	"8.58"	"https://www.uniprot.org/uniprotkb/Q8YVZ6/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010995988.1/"	"111.81"	"all1820"	"FALSE"	"FALSE"	"NA"	"NA"	12	100
"all1826"	"PCC7120DELTA_RS10905"	"GUN4 domain-containing protein"	238	"WP_010995994.1"	"Q8YVZ0"	"5.2"	"https://www.uniprot.org/uniprotkb/Q8YVZ0/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010995994.1/"	"27.09"	"all1826"	"FALSE"	"TRUE"	"6 7 8 9"	"NA"	4	"99.88"
"all1829"	"PCC7120DELTA_RS10920"	"Hypothetical protein"	131	"WP_010995997.1"	"Q8YVY8"	"4.53"	"https://www.uniprot.org/uniprotkb/Q8YVY8/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010995997.1/"	"15.46"	"all1829"	"FALSE"	"FALSE"	"NA"	"NA"	6	"97.55"
"all1842"	"PCC7120DELTA_RS10985"	"Cation:proton antiporter"	475	"WP_010996010.1"	"Q8YVX7"	"9.03"	"https://www.uniprot.org/uniprotkb/Q8YVX7/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010996010.1/"	52	"all1842"	"FALSE"	"FALSE"	"NA"	"NA"	15	100
"all1843"	"PCC7120DELTA_RS10990"	"Cation:proton antiporter subunit c"	111	"WP_010996011.1"	"Q8YVX6"	"5.25"	"https://www.uniprot.org/uniprotkb/Q8YVX6/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010996011.1/"	12	"all1843"	"FALSE"	"FALSE"	"NA"	"NA"	15	100
"all1846"	"PCC7120DELTA_RS11005"	"Response regulator"	680	"WP_010996014.1"	"Q8YVX3"	"5.24"	"https://www.uniprot.org/uniprotkb/Q8YVX3/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010996014.1/"	"75.11"	"all1846"	"FALSE"	"FALSE"	"NA"	"NA"	11	"99.9"
"all1863"	"PCC7120DELTA_RS11105"	"Oxaloacetate decarboxylase"	287	"WP_010996027.1"	"Q8YVW0"	"5.27"	"https://www.uniprot.org/uniprotkb/Q8YVW0/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010996027.1/"	"30.41"	"all1863"	"FALSE"	"FALSE"	"NA"	"NA"	13	"95.37"
"all1864"	"PCC7120DELTA_RS11110"	"Nitroreductase family protein"	221	"WP_044521105.1"	"Q8YVV9"	"4.75"	"https://www.uniprot.org/uniprotkb/Q8YVV9/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_044521105.1/"	"27.04"	"all1864"	"FALSE"	"FALSE"	"NA"	"NA"	5	"98.33"
"all1865"	"PCC7120DELTA_RS11115"	"Alkene reductase"	365	"WP_044521106.1"	"Q8YVV8"	"5.49"	"https://www.uniprot.org/uniprotkb/Q8YVV8/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_044521106.1/"	"43.9"	"all1865"	"FALSE"	"FALSE"	"NA"	"NA"	4	100
"all1871"	"PCC7120DELTA_RS11145"	"DUF1257 domain-containing protein"	116	"WP_010996035.1"	"Q8YVV2"	"8.96"	"https://www.uniprot.org/uniprotkb/Q8YVV2/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010996035.1/"	"12.95"	"all1871"	"FALSE"	"FALSE"	"NA"	"NA"	2	"93.38"
"all1872"	"PCC7120DELTA_RS11150"	"AAA family ATPase"	503	"WP_010996036.1"	"Q9AIM4"	"6.06"	"https://www.uniprot.org/uniprotkb/Q9AIM4/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010996036.1/"	"56.91"	"all1872"	"FALSE"	"FALSE"	"NA"	"NA"	9	"99.98"
"all1875"	"PCC7120DELTA_RS11165"	"Metallophosphoesterase"	517	"WP_044521110.1"	"Q8YVU9"	"6.1"	"https://www.uniprot.org/uniprotkb/Q8YVU9/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_044521110.1/"	"57.52"	"all1875"	"FALSE"	"FALSE"	"NA"	"NA"	12	100
"all1876"	"PCC7120DELTA_RS11170"	"YegS/Rv2252/BmrU family lipid kinase"	323	"WP_010996040.1"	"Q8YVU8"	"4.33"	"https://www.uniprot.org/uniprotkb/Q8YVU8/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010996040.1/"	"34.05"	"all1876"	"FALSE"	"FALSE"	"NA"	"NA"	"NA"	"NA"
"all1884"	"PCC7120DELTA_RS11210"	"SDR family oxidoreductase"	227	"WP_010996048.1"	"Q8YVU0"	"6.06"	"https://www.uniprot.org/uniprotkb/Q8YVU0/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010996048.1/"	"24.78"	"all1884"	"FALSE"	"FALSE"	"NA"	"NA"	5	"99.29"
"all1887"	"PCC7120DELTA_RS11225"	"Acyltransferase family protein"	375	"WP_010996051.1"	"Q8YVT7"	"9.68"	"https://www.uniprot.org/uniprotkb/Q8YVT7/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010996051.1/"	"42.17"	"all1887"	"FALSE"	"FALSE"	"NA"	"NA"	10	100
"all1889"	"PCC7120DELTA_RS11235"	"Uma2 family endonuclease"	239	"WP_010996053.1"	"Q8YVT5"	"4.73"	"https://www.uniprot.org/uniprotkb/Q8YVT5/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010996053.1/"	"27.88"	"all1889"	"FALSE"	"FALSE"	"NA"	"NA"	"NA"	"NA"
"all1897"	"PCC7120DELTA_RS11275"	"Heme oxygenase (biliverdin-producing)"	238	"WP_010996061.1"	"Q8YVS7"	"6.46"	"https://www.uniprot.org/uniprotkb/Q8YVS7/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010996061.1/"	"26.9"	"all1897"	"FALSE"	"FALSE"	"NA"	"NA"	5	100
"all1919"	"PCC7120DELTA_RS11375"	"Serine/threonine-protein kinase"	546	"WP_010996083.1"	"Q8YVQ5"	"8.75"	"https://www.uniprot.org/uniprotkb/Q8YVQ5/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010996083.1/"	"59.58"	"all1919"	"FALSE"	"FALSE"	"NA"	"NA"	6	"99.93"
"all1932"	"PCC7120DELTA_RS11440"	"Aminoglycoside phosphotransferase family protein"	390	"WP_010996096.1"	"Q8YVP2"	"5.12"	"https://www.uniprot.org/uniprotkb/Q8YVP2/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010996096.1/"	"44.67"	"all1932"	"FALSE"	"FALSE"	"NA"	"NA"	"NA"	"NA"
"all1944"	"PCC7120DELTA_RS11500"	"PhzF family phenazine biosynthesis protein"	273	"WP_010996108.1"	"Q8YVN0"	"5.1"	"https://www.uniprot.org/uniprotkb/Q8YVN0/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010996108.1/"	"29.67"	"all1944"	"FALSE"	"FALSE"	"NA"	"NA"	5	100
"all1958"	"PCC7120DELTA_RS11570"	"Toll/interleukin-1 receptor domain-containing protein"	363	"WP_010996122.1"	"Q8YVL7"	"8.78"	"https://www.uniprot.org/uniprotkb/Q8YVL7/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010996122.1/"	"40.7"	"all1958"	"FALSE"	"FALSE"	"NA"	"NA"	"NA"	"NA"
"all1980"	"PCC7120DELTA_RS11685"	"Glycosyltransferase family 2 protein"	353	"WP_010996142.1"	"Q8YVJ7"	"9.04"	"https://www.uniprot.org/uniprotkb/Q8YVJ7/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010996142.1/"	"42.08"	"all1980"	"FALSE"	"FALSE"	"NA"	"NA"	11	"99.98"
"all1981"	"PCC7120DELTA_RS11690"	"Sucrase ferredoxin"	325	"WP_010996143.1"	"Q8YVJ6"	"8.39"	"https://www.uniprot.org/uniprotkb/Q8YVJ6/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010996143.1/"	"37.21"	"all1981"	"FALSE"	"FALSE"	"NA"	"NA"	4	"99.99"
"all1990"	"PCC7120DELTA_RS11760"	"GNAT family N-acetyltransferase"	213	"WP_010996151.1"	"Q8YVI8"	"5.06"	"https://www.uniprot.org/uniprotkb/Q8YVI8/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010996151.1/"	"24.48"	"all1990"	"FALSE"	"TRUE"	"NA"	6	15	"99.68"
"all2002"	"PCC7120DELTA_RS11815"	"Hypothetical protein"	195	"WP_010996163.1"	"Q8YVH6"	"9.04"	"https://www.uniprot.org/uniprotkb/Q8YVH6/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010996163.1/"	"21.59"	"all2002"	"FALSE"	"FALSE"	"NA"	"NA"	"NA"	"NA"
"all2003"	"PCC7120DELTA_RS11820"	"DUF5132 domain-containing protein"	100	"WP_010996164.1"	"Q8YVH5"	"4.34"	"https://www.uniprot.org/uniprotkb/Q8YVH5/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010996164.1/"	"10.16"	"all2003"	"FALSE"	"FALSE"	"NA"	"NA"	4	"99.98"
"all2006"	"PCC7120DELTA_RS11835"	"Hypothetical protein"	382	"WP_010996167.1"	"Q8YVH2"	"8.47"	"https://www.uniprot.org/uniprotkb/Q8YVH2/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010996167.1/"	"41.58"	"all2006"	"FALSE"	"FALSE"	"NA"	"NA"	8	"90.07"
"all2013"	"PCC7120DELTA_RS11870"	"Methyltransferase domain-containing protein"	239	"WP_010996174.1"	"Q8YVG5"	"5.03"	"https://www.uniprot.org/uniprotkb/Q8YVG5/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010996174.1/"	"26.71"	"all2013"	"FALSE"	"FALSE"	"NA"	"NA"	5	100
"all2027"	"PCC7120DELTA_RS11945"	"NHLP leader peptide family RiPP precursor"	111	"WP_010996188.1"	"Q8YVF1"	"4.7"	"https://www.uniprot.org/uniprotkb/Q8YVF1/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010996188.1/"	"12.55"	"all2027"	"FALSE"	"FALSE"	"NA"	"NA"	4	100
"all2030"	"PCC7120DELTA_RS11960"	"Nif11-like leader peptide family natural product precursor"	107	"WP_044521191.1"	"Q8YVE8"	"4.31"	"https://www.uniprot.org/uniprotkb/Q8YVE8/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_044521191.1/"	"13.16"	"all2030"	"FALSE"	"FALSE"	"NA"	"NA"	3	100
"all2033"	"PCC7120DELTA_RS11975"	"MinD/ParA family protein"	262	"WP_010996194.1"	"NA"	"5.38"	"NA"	"https://www.ncbi.nlm.nih.gov/protein/WP_010996194.1"	"28.84"	"all2033"	"FALSE"	"FALSE"	"NA"	"NA"	5	"99.71"
"all2039"	"PCC7120DELTA_RS12000"	"DOMON-like domain-containing protein"	179	"WP_010996200.1"	"Q8YVD9"	"5.06"	"https://www.uniprot.org/uniprotkb/Q8YVD9/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010996200.1/"	"20.82"	"all2039"	"FALSE"	"TRUE"	"NA"	6	3	"99.95"
"all2040"	"PCC7120DELTA_RS12005"	"Aminoglycoside phosphotransferase family protein"	372	"WP_010996201.1"	"Q8YVD8"	"5.28"	"https://www.uniprot.org/uniprotkb/Q8YVD8/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010996201.1/"	"42.22"	"all2040"	"FALSE"	"FALSE"	"NA"	"NA"	9	"99.97"
"all2050"	"PCC7120DELTA_RS12055"	"Alpha/beta hydrolase"	545	"WP_010996211.1"	"Q8YVC8"	"8.39"	"https://www.uniprot.org/uniprotkb/Q8YVC8/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010996211.1/"	"59.26"	"all2050"	"FALSE"	"FALSE"	"NA"	"NA"	10	100
"all2062"	"PCC7120DELTA_RS12120"	"Hypothetical protein"	116	"WP_010996223.1"	"Q8YVB6"	"5.18"	"https://www.uniprot.org/uniprotkb/Q8YVB6/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010996223.1/"	"12.39"	"all2062"	"FALSE"	"FALSE"	"NA"	"NA"	5	"92.21"
"all2068"	"PCC7120DELTA_RS12155"	"Alpha/beta hydrolase"	311	"WP_010996226.1"	"Q8YVB3"	"6.09"	"https://www.uniprot.org/uniprotkb/Q8YVB3/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010996226.1/"	"35.35"	"all2068"	"FALSE"	"FALSE"	"NA"	"NA"	9	100
"all2070"	"PCC7120DELTA_RS12165"	"YihY/virulence factor BrkB family protein"	301	"WP_010996228.1"	"Q8YVB1"	"9.86"	"https://www.uniprot.org/uniprotkb/Q8YVB1/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010996228.1/"	"33.51"	"all2070"	"FALSE"	"FALSE"	"NA"	"NA"	"NA"	"NA"
"all2086"	"PCC7120DELTA_RS12245"	"DUF3352 domain-containing protein"	564	"WP_010996244.1"	"Q8YV95"	"6.71"	"https://www.uniprot.org/uniprotkb/Q8YV95/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010996244.1/"	"60.59"	"all2086"	"FALSE"	"FALSE"	"NA"	"NA"	10	100
"all2091"	"PCC7120DELTA_RS12270"	"Carboxylating nicotinate-nucleotide diphosphorylase"	287	"WP_010996249.1"	"Q8YV90"	"5.23"	"https://www.uniprot.org/uniprotkb/Q8YV90/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010996249.1/"	"30.87"	"all2091"	"TRUE"	"TRUE"	"NA"	4	14	100
"all2094"	"PCC7120DELTA_RS12310"	"Response regulator"	571	"WP_010996252.1"	"Q8YV87"	"4.87"	"https://www.uniprot.org/uniprotkb/Q8YV87/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010996252.1/"	"64.32"	"all2094"	"FALSE"	"FALSE"	"NA"	"NA"	11	"94.12"
"all2096"	"PCC7120DELTA_RS12320"	"Plastoquinol terminal oxidase"	230	"WP_010996254.1"	"Q8YV85"	"6.05"	"https://www.uniprot.org/uniprotkb/Q8YV85/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010996254.1/"	27	"all2096"	"FALSE"	"FALSE"	"NA"	"NA"	8	100
"all2097"	"PCC7120DELTA_RS12325"	"Rieske 2Fe-2S domain-containing protein"	499	"WP_010996255.1"	"Q8YV84"	"5.85"	"https://www.uniprot.org/uniprotkb/Q8YV84/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010996255.1/"	"56.71"	"all2097"	"FALSE"	"FALSE"	"NA"	"NA"	15	100
"all2103"	"PCC7120DELTA_RS12355"	"Uma2 family endonuclease"	197	"WP_010996261.1"	"Q8YV78"	"4.63"	"https://www.uniprot.org/uniprotkb/Q8YV78/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010996261.1/"	"22.31"	"all2103"	"FALSE"	"TRUE"	18	"NA"	"NA"	"NA"
"all2108"	"PCC7120DELTA_RS12380"	"VWA domain-containing protein"	201	"WP_010996266.1"	"Q8YV73"	"4.58"	"https://www.uniprot.org/uniprotkb/Q8YV73/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010996266.1/"	"22.28"	"all2108"	"FALSE"	"FALSE"	"NA"	"NA"	6	100
"all2109"	"PCC7120DELTA_RS12385"	"VWA domain-containing protein"	201	"WP_044522916.1"	"Q8YV72"	"4.75"	"https://www.uniprot.org/uniprotkb/Q8YV72/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_044522916.1/"	"22.8"	"all2109"	"FALSE"	"FALSE"	"NA"	"NA"	2	100
"all2110"	"PCC7120DELTA_RS12390"	"VWA domain-containing protein"	201	"WP_010996268.1"	"Q8YV71"	"4.43"	"https://www.uniprot.org/uniprotkb/Q8YV71/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010996268.1/"	"22.17"	"all2110"	"FALSE"	"FALSE"	"NA"	"NA"	4	100
"all2113"	"PCC7120DELTA_RS12405"	"Sodium:proton antiporter"	517	"WP_010996271.1"	"Q8YV68"	"9.09"	"https://www.uniprot.org/uniprotkb/Q8YV68/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010996271.1/"	"56.05"	"all2113"	"FALSE"	"FALSE"	"NA"	"NA"	11	"94.95"
"all2115"	"PCC7120DELTA_RS12415"	"Rpn family recombination-promoting nuclease/putative transposase"	290	"WP_010996273.1"	"Q8YV66"	"4.83"	"https://www.uniprot.org/uniprotkb/Q8YV66/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010996273.1/"	34	"all2115"	"FALSE"	"FALSE"	"NA"	"NA"	6	"99.74"
"all2116"	"PCC7120DELTA_RS12420"	"Glycoside hydrolase family 10 protein"	416	"WP_010996274.1"	"Q8YV65"	"9.42"	"https://www.uniprot.org/uniprotkb/Q8YV65/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010996274.1/"	"47.84"	"all2116"	"FALSE"	"FALSE"	"NA"	"NA"	4	"90.95"
"all2121"	"PCC7120DELTA_RS12445"	"Methyltransferase domain-containing protein"	330	"WP_010996279.1"	"Q8YV60"	"5.73"	"https://www.uniprot.org/uniprotkb/Q8YV60/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010996279.1/"	"36.93"	"all2121"	"FALSE"	"FALSE"	"NA"	"NA"	8	"99.99"
"all2124"	"PCC7120DELTA_RS12460"	"Caspase family protein"	1683	"WP_010996282.1"	"Q8YV57"	"6.3"	"https://www.uniprot.org/uniprotkb/Q8YV57/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010996282.1/"	"185.46"	"all2124"	"FALSE"	"TRUE"	"1_2"	"NA"	15	"97.25"
