"Gene"	"Protein.ID"	"Protein.Description"	"SVM"	"n_ctrl"	"n_rnase"	"n_hits"	"hits"	"n_candidates"	"candidates"	"n_hits_plus_candidates"	"FC_fraction01_2"	"FC_fraction03"	"FC_fraction04"	"FC_fraction05"	"FC_fraction06"	"FC_fraction07"	"FC_fraction08"	"FC_fraction09"	"FC_fraction10"	"FC_fraction11"	"FC_fraction12"	"FC_fraction13"	"FC_fraction14"	"FC_fraction15"	"FC_fraction16"	"FC_fraction17"	"FC_fraction18"	"FC_fraction19"	"p_fraction01_2"	"p_fraction03"	"p_fraction04"	"p_fraction05"	"p_fraction06"	"p_fraction07"	"p_fraction08"	"p_fraction09"	"p_fraction10"	"p_fraction11"	"p_fraction12"	"p_fraction13"	"p_fraction14"	"p_fraction15"	"p_fraction16"	"p_fraction17"	"p_fraction18"	"p_fraction19"
"alr4487"	"Q8YNS4"	"Alr4487 protein "	-1,4554956312	3	3	0		0		0	-0,1060641446	0,0836758844	-0,0753346927	-0,0252755608	0,133305127	0,1216403541	-0,1023536843	-0,1769874406	-0,1775781585	-0,0883359468	-0,1642176248	-0,2569561646	-0,2307812537	-0,0764482991	0,0629511018	-0,1149266986	0,163352527	-0,0113193655	0,93671921	0,941891263	0,9290657926	0,9707944245	0,9289271291	0,9658049993	0,9216980223	0,9392336981	0,9351343229	0,9748010279	0,9597904718	0,9223954962	0,9611667314	0,9819815825	0,9752126225	0,9803312815	0,9431282994	0,9589090036
"all2121"	"Q8YV60"	"All2121 protein "	-1,4552547793	3	3	0		0		0	0,0202987764	0,298331858	0,0466613809	-0,1746998065	-0,1026277174	-0,2372011569	-0,2535135326	-0,0380344077	-0,1410913062	0,1643593066	0,1349951667	-0,3925756396	0,2112210327	0,3699893393	0,1611256255	-0,0456755346	-0,1240619471	0,4239197117	0,9505083543	0,8469160451	0,944822444	0,9074927566	0,9458589547	0,9355327386	0,8738271323	0,9606881622	0,9431777345	0,9706436327	0,9638908671	0,9055153826	0,9638054029	0,9605997219	0,9688108951	0,9842057429	0,9494433836	0,9246309037
"all2545"	"Q8YU16"	"All2545 protein "	-1,454903926	3	3	0		0		0	0,4423077822	0,0629470594	-0,0342840674	-0,074881721	-0,0869940772	0,0817633107	0,2005320345	0,3703569019	0,3092730683	0,6238759973	0,0020094536	0,2054739107	-0,3792020633	0,4244631901	0,1425678685	0,569370046	0,2172264887	0,2476416817	0,8115380872	0,9472095179	0,9523920583	0,9603235923	0,9521070986	0,9707910421	0,892968998	0,9026923217	0,8947713259	0,7906442721	0,9733550369	0,9388007018	0,9616510839	0,9486304316	0,970547849	0,897826432	0,9368462025	0,9015790746
"alr3301"	"Q8YRZ1"	"Alr3301 protein "	-1,4544457798	3	3	0		0		0	0,3095075105	0,0505801514	0,281744093	0,0025155638	-0,0158997923	0,1938430987	0,2859976808	0,3896798494	0,6559537322	-0,3906023444	0,254162512	-0,365954037	-0,3948480722	-0,2923827711	-0,479149214	-0,5852267778	-0,0247905249	-0,6672017351	0,8476255623	0,9505348888	0,9049608351	0,9738014058	0,9677938148	0,9480805111	0,830008082	0,8817256697	0,6568698836	0,9364331573	0,9519561922	0,9075162587	0,9408283286	0,9706658227	0,9277168458	0,8896134511	0,9606828559	0,3793390231
"alr1586"	"Q8YWL9"	"Alr1586 protein "	-1,454331956	3	3	0		0		0	0,1143116128	0,0581193466	0,2810254872	0,0450797761	-0,281530423	-0,4576884331	-0,1877265301	-0,0374641657	0,191248341	0,2349224367	0,0037785927	-0,0644697371	-0,0986704028	0,5679666213	0,0411458643	-0,163681963	0,029312279	-0,0715644687	0,9344400552	0,9545473206	0,8040387308	0,9685155355	0,7969786989	0,6967268533	0,8933435804	0,960447815	0,9427558168	0,9676289034	0,9733207891	0,9561580731	0,9749358437	0,9384927155	0,9771616725	0,9814638564	0,9607748023	0,9547813541
"alr4494"	"Q8YNR7"	"Mannosyltransferase "	-1,4514468053	3	3	0		0		0	0,2079678165	0,190858115	-0,0129208832	-0,098890434	-0,1105177799	-0,1714452541	-0,0448389718	-0,2087561724	-0,2832031876	-0,0672289857	-0,119077146	-0,0482254977	0,1993476398	-0,0881206472	0,2959987144	0,4294022041	0,5707230045	0,440966402	0,9281004272	0,9253142025	0,9598982612	0,9657143812	0,9498466903	0,9569422463	0,9369898492	0,943155183	0,9307261227	0,9772381766	0,9680755519	0,9566432227	0,9713420876	0,983296169	0,968910365	0,9744115176	0,9002532732	0,9287863389
"all0969"	"Q8YY82"	"All0969 protein "	-1,4486373632	3	3	0		0		0	-0,0848154173	0,1839479554	-0,0515535361	0,0502409143	0,2610980995	0,4233028144	0,1118705151	0,066765926	-0,3774516934	-0,7857321524	-0,3066253453	-0,524682848	-0,561982463	-0,149781889	0,0528473528	-0,4240849851	-0,7223977132	-1,5264654865	0,9405141418	0,905629546	0,9430053426	0,9662816815	0,8768690496	0,7856594411	0,9188079345	0,9569623525	0,8748381693	0,9330098168	0,9416274311	0,8309927494	0,9069079929	0,979782616	0,9763321232	0,9646405714	0,8395211164	0,4902607375
"msrB"	"Q8YQD2"	"Peptide-methionine (R)-S-oxide reductase "	-1,4469244501	3	3	0		0		0	0,0814604396	-0,2461385339	0,2062750685	0,4005731517	0,3225575057	0,4732806758	0,5945463874	0,3908337602	-0,1220115917	0,0028050739	-0,1757546521	0,470434878	0,3655267978	0,2449104695	0,0475357839	0,0469238235	-0,1339358568	0,2709132318	0,9419948557	0,897383965	0,8379639441	0,3028737648	0,8950461889	0,9420430182	0,8465771084	0,9442590472	0,9542056609	0,97966489	0,966979198	0,9389940198	0,9696558949	0,9810720277	0,9777946538	0,9844618718	0,9586665461	0,9448245112
"all0186"	"Q8Z0B2"	"All0186 protein "	-1,4454625744	3	3	0		0		0	-0,3509167181	-0,2157526572	0,0780649273	0,1945508685	0,3280834843	0,5175176455	0,8071040525	0,3841123793	0,5963332471	0,7351791246	0,867481678	1,0932448546	0,8706144326	1,0701314055	0,3921960077	0,8691991556	0,3748944775	0,143314617	0,8305869967	0,8996083876	0,941596121	0,934577293	0,8915905911	0,9164299467	0,3775163279	0,8762462524	0,7712373225	0,79141696	0,5735427554	0,3548930698	0,7446268823	0,7203396565	0,9283005418	0,7314893444	0,8910590429	0,9417491903
"all3010"	"Q8YSS4"	"All3010 protein "	-1,4446902578	3	3	0		0		0	0,3822604866	0,0545499584	0,0706334224	-0,1563167169	-0,076589275	-0,0719608825	-0,0623158948	0,046993625	0,1838109959	0,5351987706	0,5638964141	0,3028456475	-0,1307456247	0,3874147894	0,1863383895	0,3556391265	0,031797572	0,0847617954	0,7827816552	0,9509916845	0,9432773747	0,9282599524	0,9549694715	0,971568065	0,9308213082	0,9589118367	0,934535941	0,8694919836	0,837935798	0,9139750694	0,9715480314	0,962604248	0,9655484939	0,9566221764	0,9600964112	0,9490199701
"asl3609"	"Q8YR41"	"Asl3609 protein "	-1,4427850107	3	3	0		0		0	0,1167489475	0,0965520548	0,0660880477	-0,0271324006	-0,043044106	-0,048081266	-0,1596564322	-0,2677327115	-0,2038715634	-0,1657665625	-0,0969264783	0,1765520427	-0,1403758951	0,2091248267	-0,3477241858	-0,0590529055	-0,0696692888	-0,2020563872	0,9334587493	0,939550269	0,9360533195	0,9701526357	0,9624623638	0,9741849811	0,9033002184	0,9376716451	0,9313213069	0,9697404971	0,9679666074	0,9434660682	0,9711082477	0,9758589387	0,9441152	0,9830097087	0,9573031468	0,9262196249
"alr1728"	"Q8YW88"	"Alr1728 protein "	-1,4422914096	3	3	0		0		0	-0,2465113383	-0,343252833	0,0820045836	0,0261502756	-0,3700258651	0,0296672405	-0,159080613	0,7089315571	-0,0510039377	0,7015324826	0,4881238038	0,4800973384	0,510561101	0,6441109233	1,0799001418	-0,3218805998	0,1622309377	-0,1544376927	0,906021347	0,8348236934	0,9412249946	0,9711113206	0,5374904665	0,9759859509	0,9074075213	0,7705579748	0,9565515829	0,8157880979	0,938788233	0,8932635834	0,937440273	0,9227674118	0,3840803324	0,9737892276	0,9518395678	0,9502483826
"all3918"	"WP_044521989.1"	"sulfurtransferase "	-1,4417056351	3	3	0		0		0	0,1022570037	-0,074654891	-0,1274140654	0,047169479	0,1412174511	0,2898139639	0,3907139591	0,7323555081	1,0292433432	1,2850681397	1,4825735868	1,1568057002	0,9997735819	1,0670792479	1,204248046	1,0794996724	0,9823995652	0,7455746054	0,9342993653	0,9443716623	0,8789304082	0,9663173041	0,9245493945	0,9095623998	0,7027493292	0,4420698056	0,0906678189	0,2953128872	0,1534265922	0,1670137028	0,4913986087	0,5941789514	0,0957058917	0,7702089629	0,2133100754	0,3872497749
"alr4132"	"Q8YPR0"	"Alr4132 protein "	-1,441199354	3	3	0		0		0	-0,2515464126	-0,2867479142	0,1699808134	0,475499868	0,4788370613	0,6344043837	0,2956727743	0,1575824762	0,2583713899	0,0927633065	0,6327725155	0,6459882534	-0,0018952906	-0,5914286397	-0,3470979072	-0,0009039297	0,5731505558	0,2418062853	0,8738125567	0,8158550343	0,8842955578	0,4864498827	0,8304118848	0,8980165437	0,9068180268	0,9548703493	0,9453262341	0,976126717	0,9362148489	0,9147651244	0,9783083702	0,917409048	0,9504650374	0,9849960541	0,8873089942	0,934018028
"all4924"	"Q8YMK9"	"Ferrichrome iron receptor "	-1,4399284204	3	3	0		0		0	0,1053459689	-0,0359613986	-0,3348550831	0,4189094757	-0,0854525767	-0,3464242173	-0,2565175172	-0,1023317129	0,1267297371	-0,0523414241	0,3224602231	0,2988054478	-0,0746907847	0,5552565104	0,0255783256	0,0288265802	0,037931722	-0,2446548159	0,9384745826	0,9567124295	0,8021207126	0,9090933687	0,9577736442	0,9235274966	0,8685145666	0,954011963	0,9510655736	0,9779441654	0,9350015494	0,9188356336	0,9752927733	0,9093462479	0,9774213354	0,9840906121	0,9595718386	0,9249646429
"alr3210"	"WP_044523110.1"	"aminotransferase class V-fold PLP-dependent enzyme "	-1,4395292078	3	3	0		0		0	-0,0268659099	0,3345774819	0,1048682307	-0,1954719493	-0,1295319731	0,0397547749	0,0852542758	0,279832271	0,2998335634	0,3267998869	0,334277714	0,4294086495	0,7594587933	0,4277867964	0,4010347206	0,1292280882	0,3931929302	0,1562238723	0,9492953018	0,8838625017	0,9272853881	0,9061495622	0,95469414	0,9757854219	0,9264401456	0,9235659071	0,9003904178	0,9459804538	0,9394281043	0,8803838558	0,7101880138	0,9448020037	0,9242119333	0,9797855646	0,8682369639	0,9352806519
"all2050"	"Q8YVC8"	"All2050 protein "	-1,439464776	3	3	0		0		0	0,1650203284	0,2198619046	0,2136454469	-0,1090186746	-0,1949821413	-0,2143373036	-0,3252397887	-0,4215669841	-0,8942346628	-1,0604502168	-0,7486616452	-0,4348522011	-0,2356076129	-0,0320119554	-0,4421390193	-0,8225052687	-0,6085580189	-0,5546782627	0,9166260098	0,8383855336	0,6115373484	0,9519202233	0,8877017084	0,9409510514	0,7932083574	0,8391868085	0,7560268013	0,8599467318	0,8989678648	0,8934106894	0,9655586616	0,9839285951	0,9564876174	0,9191548622	0,8502378806	0,8079536114
"asr4987"	"Q8YME7"	"Asr4987 protein "	-1,4384083446	1	1	0		0		0	-0,1740113878	0,0300035015	-0,0314520896	0,0284223005	0,2930776883	-0,0824123992	-0,2817406675	-0,8077722754	-0,5228162159	-0,4641623538	-0,8328315401	-0,5321429009	-0,5418793338	-0,5997081651	-0,6782205117	-0,5188751144	-0,2350078308	0,7209106139	0,9289797597	0,9578584333	0,9561847078	0,971384004	0,8898016476	0,9734871436	0,8855268028	0,7002127571	0,8698697348	0,9487900819	0,8217528696	0,8875011752	0,938133286	0,9505548815	0,9064821755	0,9585642322	0,9432211623	0,7255207885
"all4647"	"Q8YNC0"	"All4647 protein "	-1,4371432897	3	3	0		0		0	0,1823256482	-0,1221039261	-0,0619354566	-0,0487426104	0,0660571379	0,2881269464	0,4232735168	0,2370822684	0,3132999746	0,1203908629	0,2465110172	0,2919145393	0,1818129436	0,0648328691	-0,2172595714	1,0049184839	0,4219120865	0,0420874895	0,9259647251	0,9284001992	0,9522538933	0,9699612216	0,9648036857	0,9300786868	0,6978827035	0,9292741886	0,9206859624	0,9752898535	0,9610214432	0,9263991331	0,9702761741	0,9840388308	0,9659932024	0,6408554453	0,8927945384	0,9559598451
"glmS"	"WP_044521778.1"	"glutamine--fructose-6-phosphate transaminase (isomerizing) "	-1,4362174543	3	3	0		0		0	-0,5023649754	-0,0357104246	0,2155668901	0,0961691593	-0,2931713687	-0,2696021978	-0,2154033583	-0,5227962478	-0,0047633861	0,2171238247	0,0254049863	-0,0592440268	-0,0805822669	0,1122648395	0,1300301014	0,0999030978	-0,2377559738	0,1627684266	0,6969673558	0,9552223039	0,8373313659	0,9532365602	0,7798360866	0,939625447	0,8870376541	0,8232211801	0,9608127691	0,962525204	0,9722719177	0,9542738437	0,9744406571	0,9803850765	0,9704418483	0,9812225222	0,9352472055	0,9308334585
"alr1347"	"Q8YX68"	"Alr1347 protein "	-1,4354300367	3	3	0		0		0	0,5034907608	0,357005456	-0,0700033324	-0,1379506415	-0,0661236958	0,1337460936	0,0696621127	0,3426711436	0,5092487355	0,3338346568	0,5964068654	0,5540927923	0,2727681427	0,8304993652	0,2097380313	0,2649703358	0,3845403732	0,3128416672	0,5732448614	0,8120874388	0,9305537171	0,9450428609	0,9590329163	0,9635173308	0,9291791469	0,8904725029	0,836401899	0,948839268	0,8374577823	0,812735592	0,9627551609	0,7056295618	0,9624477569	0,97155933	0,8745936621	0,9234106475
"atpG"	"P12410"	"ATP synthase subunit b' "	-1,4333243221	3	3	0		0		0	0,0174349723	-0,3455431697	-0,0559871473	-0,0104334602	0,0652403045	-0,1422310504	-0,0564956454	0,359688624	0,4551504478	0,5924815745	0,5046092293	0,4181707882	0,2700001446	0,1765526617	0,2969342728	0,0447990088	0,1800837327	0,0239551667	0,9507908207	0,7566141125	0,9500735255	0,9730265144	0,9585232495	0,9653040695	0,9336821112	0,9232987471	0,8247413983	0,873507012	0,8767244862	0,8659070303	0,957640612	0,9776988781	0,9505144661	0,983585613	0,9399338723	0,957503507
"acrB"	"Q8YSE5"	"RND multidrug efflux transporter "	-1,4322105081	3	3	0		0		0	0,3320164299	-0,1769891166	0,2299681997	0,5507598441	-0,0394226213	-0,1694125814	0,2584702892	0,5990320689	0,3008880055	0,3034833843	0,0970004402	0,057568171	-0,2028382871	-0,1742864682	-0,3644877641	-0,8504823972	-0,6289354143	-0,7199406275	0,8488724629	0,9370771709	0,868095189	0,5490359068	0,9656815058	0,9633050626	0,8485756592	0,6516885279	0,9074282592	0,9541026231	0,9674846806	0,9544739602	0,9646348816	0,9767987472	0,9346418106	0,7626739246	0,690985897	0,4979431501
"all2870"	"Q8YT56"	"All2870 protein "	-1,4305335245	3	3	0		0		0	-0,7490447044	-0,8918461345	0,0185439247	0,2059357286	0,040505547	0,0331676336	0,0193592623	-0,2326197189	0,1284433164	0,059190685	0,1031414429	0,7274087583	0,0427797209	-0,5478307426	-0,1165093166	-0,8394620914	-0,1559521926	-1,904552005	0,1873142782	0,0857018481	0,959648553	0,9057818151	0,9650632871	0,9763440986	0,9396751515	0,9329455959	0,9488435385	0,9766975017	0,9665622004	0,66418688	0,9762944531	0,923355432	0,9724175648	0,7748639968	0,9451005829	0,1479591543
"all0219"	"Q8Z079"	"All0219 protein "	-1,429410247	2	2	0		0		0	0,3799302541	0,042062706	-0,1756524152	-0,1243310882	0,1188263378	0,0584086849	0,1332240581	0,1296261306	0,622856833	0,2052037951	-0,3244707631	-0,1157576612	0,0935235468	0,0776655481	-0,0028686773	0,0761744201	0,6379949765	-0,4614456898	0,8606642081	0,9548076218	0,9241242114	0,961067637	0,9443849379	0,9739198858	0,9189814053	0,9533326601	0,8845963253	0,9729544022	0,9599977408	0,9507915356	0,9754131569	0,982979917	0,9784701493	0,9829954355	0,886889725	0,7987346993
"alr1870"	"Q8YVV3"	"Alr1870 protein "	-1,4260036558	3	3	0		0		0	-0,2078309722	-0,0461008533	-0,0659631301	0,2790916757	0,6745666557	0,1999750336	-0,2627880558	-0,1548221509	-0,5332702898	-1,3318300769	-0,4565614545	-0,2666200731	-0,8008254475	-0,8900782154	-0,3794686648	-0,4498511348	-0,7232392838	-0,5191185954	0,9079160987	0,9555830915	0,9356739605	0,8768556222	0,799739941	0,9530287266	0,8760854124	0,949052181	0,7736910247	0,8043143	0,8998707681	0,92100292	0,7705549281	0,9109848822	0,9314023737	0,9456998715	0,6327212138	0,6304692629
"all1021"	"Q8YY31"	"All1021 protein "	-1,4252666791	3	3	0		0		0	-0,0969444201	0,1122049162	-0,0227859897	0,0456503102	0,1862364793	0,0953460599	-0,0620885989	-0,1912800206	-0,3293853346	-0,3818409478	-0,1109841059	-0,1970109872	-0,3894301331	-0,6608293282	-0,4714907924	-0,9404993169	-0,7015317243	-0,1074466591	0,9382644398	0,9321738716	0,9558484449	0,967312134	0,9381080496	0,9702600482	0,931847359	0,9374437844	0,8810915409	0,9350327982	0,9657159847	0,9359872761	0,9500135663	0,9207744602	0,9224559575	0,9399328536	0,789867421	0,9476206584
"treZ"	"WP_044520508.1"	"malto-oligosyltrehalose trehalohydrolase "	-1,4233291296	3	3	0		0		0	-0,3070126157	-0,2471998855	-0,2622210271	0,3673181429	-0,1131778857	-0,2368858627	-0,0013930602	0,2445634269	-0,0473475936	0,225695529	-0,0961879048	0,7881554715	-0,2721662796	0,103457254	-0,2860228606	-0,9413092727	-0,3370723561	-0,4022469484	0,9003815906	0,8852505169	0,8701190925	0,9305103835	0,9486061778	0,9584903656	0,9426030921	0,9445996604	0,9572676531	0,9668778704	0,9689516656	0,8662109308	0,9584512152	0,9806708456	0,9607115536	0,9461045944	0,8985731593	0,8663006018
"all4078"	"WP_044522081.1"	"CHAT domain-containing protein "	-1,4232755045	3	3	0		0		0	-0,2669190065	0,1296309073	0,0563570713	0,0414996571	0,2242981824	0,2957440873	-0,1275958407	-0,0828407626	-0,2806272043	-0,9331978054	-0,575166039	-0,6002000632	-0,7643479183	-0,8457086768	-1,036666724	-0,6937448983	-0,7770986783	0,009898876	0,885403055	0,932558942	0,9405303291	0,9680705664	0,8516558707	0,9248688303	0,9125550693	0,9558789519	0,9240071657	0,8228540088	0,8900314395	0,8918753039	0,8826926159	0,9250111021	0,8074416585	0,946958339	0,6623985831	0,9590579672
"all3418"	"Q8YRM6"	"All3418 protein "	-1,423056154	3	3	0		0		0	-0,7090503531	-0,4885298375	0,2290797406	0,2995312084	0,015065476	-0,216700657	-0,3972444081	-0,4141014169	-0,3782774111	-0,6007647163	-0,6139797873	-0,4746417607	-0,5029982182	-0,2403938382	-0,0335282633	-0,2866884528	-0,597181611	-0,7540387109	0,5972677487	0,857783775	0,9190754345	0,7098564476	0,9682007304	0,9557368012	0,7055421602	0,865182064	0,8847340793	0,9104562815	0,7967164696	0,8943340725	0,9265149212	0,9761353535	0,9774007932	0,9754273418	0,8301982117	0,5415898307
"pbp8"	"Q8Z0E5"	"Penicillin-binding protein "	-1,4228192651	3	3	0		0		0	0,0702229211	-0,0030407483	0,3359484205	0,0462130386	-0,3186857221	-0,3120286633	-0,0613649859	0,2017581046	0,1118922364	-0,0175526454	-0,0615226365	-0,1539390915	0,0373903931	0,1510350895	0,1159696806	0,6811616443	0,3111170579	0,4752464562	0,9428819312	0,9608867081	0,8140436649	0,968377011	0,8143391431	0,945236125	0,9320518193	0,9406387895	0,9492369277	0,9789595588	0,9696808737	0,9432581306	0,9765986202	0,9794097765	0,9726785182	0,9571814087	0,9169644244	0,8357112578
"alr3548"	"Q8YRA0"	"Alr3548 protein "	-1,4220327613	3	3	0		0		0	-0,1344993288	-0,1694682518	0,1964308662	0,5646016809	0,4730504325	0,5281751526	0,1851439987	0,3047450634	-0,1831778231	-0,0245198693	0,2537692383	0,3672182746	0,2630891782	0,9313671107	0,7859778928	-0,1897525611	0,3928405201	0,4131065903	0,9268244591	0,9211445669	0,8381892132	0,0471584554	0,7142188842	0,8567284577	0,9157962559	0,9467840021	0,9470074666	0,9788133515	0,9622516114	0,927984984	0,9725611109	0,8363578753	0,7617415369	0,9812357282	0,9403817158	0,9063312093
"all1699"	"Q8YWB6"	"All1699 protein "	-1,4219805078	3	3	0		0		0	0,0957914063	-0,0113523248	0,1982819941	-0,2966474427	-0,1601381115	-0,1480900862	-0,209896354	-0,2579413105	-0,0015710514	-0,0772673063	-0,0897366701	-0,076591309	-0,2367105883	-0,2763798142	-0,1055928353	-0,0734329939	-0,1378111152	0,6683798111	0,9375728956	0,9599187467	0,767357596	0,7645281549	0,9214874329	0,9596400761	0,8843169241	0,9338236411	0,9610971925	0,9763047013	0,9677838578	0,9524894789	0,9614643232	0,9683489075	0,9728064467	0,9824076482	0,9470547414	0,7219590929
"alr4912"	"Q8YMM1"	"Alr4912 protein "	-1,4218800786	3	3	0		0		0	-0,1321423123	-0,1122110085	-0,0743052043	-0,0934565844	0,2221505133	0,3747300763	0,254850597	0,6923603532	0,6258093758	0,50947214	0,6764980138	0,6521820216	0,6076565077	-0,2197061207	0,4728374402	1,1928253099	0,0159936464	0,3565922749	0,9277737456	0,931454742	0,9319323348	0,9591056402	0,8949793633	0,8632807338	0,8610195205	0,478159777	0,5627983211	0,8970720394	0,8112484843	0,715516308	0,8393708981	0,9768991105	0,8996763078	0,8969819706	0,9614150025	0,8989533961
"all0217"	"Q8Z081"	"All0217 protein "	-1,4207797763	3	3	0		0		0	0,228388102	0,2459637781	0,0956660055	-0,101038966	-0,0712719582	-0,4618980867	-0,311545627	-0,1382272923	-0,120359396	-0,1868536074	0,1347317019	0,282491979	-1,6904866091	-0,2363508195	-0,3711656461	-0,0993633628	-0,2230349163	-0,2270565829	0,9205353449	0,811114278	0,9291533306	0,9618701968	0,9570357706	0,7659501522	0,8533339241	0,9491523066	0,95266676	0,9737186072	0,9682995142	0,9287149548	0,911266508	0,9789743252	0,946715125	0,9820570298	0,9428635955	0,9274208043
"all2094"	"Q8YV87"	"Two-component hybrid sensor and regulator "	-1,4191946935	1	1	0		0		0	0,0450172034	0,4301350022	-0,2300711424	-0,0925261395	0,2370526157	0,1745853676	-0,0128816486	0,1690426964	0,1882613426	-0,1476655414	-0,4504038092	-0,6610478882	0,4299013246	0,539732425	0,0671191782	-0,4068060853	0,0901887942	-0,0646837005	0,9485308817	0,7450611649	0,8427563543	0,9631981571	0,9189989683	0,9652973904	0,9412941645	0,9499394389	0,9448385843	0,9742037457	0,9372740226	0,8443503154	0,9526164534	0,957487724	0,9762796453	0,9683587859	0,9568955707	0,9552732218
"all0432"	"Q8YZM5"	"All0432 protein "	-1,4187050907	1	1	0		0		0	-0,1018249655	-0,1525754003	0,1451434451	-0,0959553376	-0,1746563521	-0,1102900796	-0,1123787186	0,5743086021	0,5017682755	0,3019987744	0,0711985243	0,1458962519	0,4297502661	-0,2934693379	-0,0726908967	-0,1174054795	0,2672645583	0,2552047301	0,941206577	0,9350833055	0,9158873626	0,9626507762	0,9406447108	0,9713773593	0,927173556	0,8561444184	0,8776650556	0,9650034357	0,9704434128	0,9493864158	0,9526326824	0,9752956855	0,9760696182	0,9820760403	0,9392101917	0,9322976049
"all4221"	"Q8YPH3"	"All4221 protein "	-1,4183820362	3	3	0		0		0	-0,0695055413	0,2897142661	-0,0020350636	-0,0359012908	-0,1652818641	-0,3337886781	0,0592877404	0,125085845	0,1752983894	0,0852069316	-0,5395038934	-0,3032443314	0,3312980764	-0,5219928657	-0,8696539798	0,2322786744	-0,3949308813	-0,7547767574	0,9458020428	0,8535956541	0,9613998739	0,9699902133	0,9373141004	0,8659603665	0,9325177045	0,9497157517	0,9381976805	0,9762478973	0,9198635611	0,9307417473	0,9656106726	0,9623894141	0,9253528646	0,9747212796	0,9085382301	0,7686493772
"all1804"	"Q8YW12"	"Two-component hybrid sensor and regulator "	-1,4176755743	2	2	0		0		0	0,6018651323	0,2538902117	0,1822337917	-0,0030090172	0,1347079357	0,2166775689	-0,0963492553	0,0252673969	-0,0967065533	-0,3302309634	-0,3370781456	-0,4455023217	-0,4123338262	-0,0156286233	0,5021381242	-0,1459730393	-0,3321736693	-0,4628427522	0,6626130875	0,9255600017	0,8913159177	0,9738149783	0,9575697878	0,9500790439	0,9255840127	0,9613549549	0,9515244866	0,9530176728	0,9406322941	0,8789246809	0,9402860206	0,9843528289	0,9444773981	0,9797668906	0,9160161884	0,83322729
"alr3183"	"Q8YSA6"	"Bacterioferritin comigratory protein "	-1,4171174784	3	3	0		0		0	-0,2927887214	-0,2502724293	0,3168292547	0,6047696711	0,6831895124	0,6507469459	0,61371535	0,4141391959	0,6259379475	0,6480955641	0,4128229028	0,6094242078	0,5508574775	0,8064132436	0,7964800731	0,6224048256	0,3259272099	0,552828995	0,8623486938	0,878789914	0,5073750515	0,6543779163	0,8294665101	0,8541576984	0,5384518058	0,8811440955	0,6971045096	0,9104223751	0,9409440174	0,7950723018	0,9367652352	0,8707988714	0,7964844641	0,9145225221	0,9166624989	0,7573203837
"alr2922"	"Q8YT05"	"Alr2922 protein "	-1,4163247464	2	2	0		0		0	0,521959375	0,033297368	-0,1549658012	0,0717830697	-0,0701397366	0,1134867515	-0,1466462152	0,293593355	0,6584024895	0,1227480104	-0,5663928585	-0,3792335008	-0,1254261066	-0,2923519907	-0,479672199	-0,1651469118	-0,7042267452	-0,4939560757	0,6328071259	0,9563860685	0,8641148441	0,9662137203	0,960033939	0,969171625	0,913318206	0,9252595803	0,681464627	0,973868582	0,8916191087	0,9179397948	0,9740867743	0,976170946	0,9511014478	0,9818026012	0,8540796894	0,8722931189
"all2976"	"Q8YSV5"	"All2976 protein "	-1,4155203988	1	1	0		0		0	-0,1289387741	-0,3002348752	-0,0653998911	0,5553195043	0,8312788287	1,0340840788	0,75344777	0,7291562929	0,1825073852	0,0183761124	0,7857587245	0,2724326688	1,2279560747	0,2095772248	0,3405600673	0,1556532679	0,2840896713	0,0802583099	0,9370471104	0,8723136014	0,9480448403	0,4260453588	0,0606182186	0,1205962574	0,4703811065	0,7660587496	0,9455075226	0,9791623932	0,8448956725	0,9363344008	0,5679329424	0,9788689034	0,9603864485	0,9808782898	0,936944439	0,9539205738
"natM"	"WP_044522999.1"	"ABC transporter ATP-binding protein "	-1,4144675783	3	3	0		0		0	-0,4470091472	-0,3376163623	0,0493682125	0,1636355411	0,020406911	-0,0600915126	-0,0511108928	0,0206553507	-0,0144715689	0,0543964627	-0,2003561063	-0,1253386517	-0,192645594	-3,14E-05	0,1300480655	-0,1230044866	0,0796133108	0,0808088301	0,6536593124	0,7093728398	0,9447955149	0,9342650747	0,9666913401	0,9737585363	0,9337260573	0,9615730331	0,9599962611	0,9770265317	0,9568044979	0,9462066794	0,9653426181	0,9847887804	0,9713901761	0,980572163	0,9561312278	0,9505804674
"all1816"	"WP_044521083.1"	"YdcF family protein "	-1,4143952731	3	3	0		0		0	0,5331066911	-0,1279646158	-0,4073922448	-0,301087322	-0,0440535118	0,223468483	0,7127595853	1,0827716313	0,7118821447	2,6307990773	0,9742682468	0,828758558	1,9251363729	0,8790243404	0,3711181936	1,0336761592	0,1827898803	-0,1561605878	0,5000011033	0,923964356	0,0783786162	0,796581416	0,9639348058	0,9534139986	0,2087121211	0,0561887215	0,5128910589	0,5024500061	0,295954677	0,4859424173	0,6078286169	0,7659273126	0,9345068988	0,5731118052	0,9487735986	0,9430433827
